t,G,I,B,Te,Treg
2.35,-238.3035,2734.0550,4300.3805,20.1833,1001.1478
2.36,-241.0368,2738.3023,4195.3239,20.0977,1001.1414
2.37,-243.7744,2742.4428,4091.8340,20.0127,1001.1351
2.38,-246.5160,2746.4779,3989.9288,19.9285,1001.1287
2.39,-249.2617,2750.4090,3889.6244,19.8450,1001.1223
2.4,-252.0113,2754.2373,3790.9350,19.7622,1001.1159
2.41,-254.7647,2757.9644,3693.8728,19.6801,1001.1094
2.42,-257.5219,2761.5916,3598.4481,19.5986,1001.1030
2.43,-260.2827,2765.1205,3504.6692,19.5179,1001.0965
2.44,-263.0470,2768.5526,3412.5424,19.4379,1001.0901
2.45,-265.8148,2771.8893,3322.0720,19.3585,1001.0836
2.46,-268.5859,2775.1323,3233.2606,19.2797,1001.0771
2.47,-271.3603,2778.2831,3146.1086,19.2016,1001.0706
2.48,-274.1378,2781.3433,3060.6145,19.1242,1001.0640
2.49,-276.9184,2784.3147,2976.7748,19.0474,1001.0575
2.5,-279.7020,2787.1988,2894.5842,18.9712,1001.0509
2.5100000000000002,-282.4885,2789.9975,2814.0353,18.8956,1001.0444
2.52,-285.2778,2792.7124,2735.1188,18.8206,1001.0378
2.5300000000000002,-288.0698,2795.3453,2657.8234,18.7462,1001.0312
2.54,-290.8644,2797.8980,2582.1359,18.6725,1001.0246
2.5500000000000003,-293.6616,2800.3724,2508.0412,18.5993,1001.0179
2.56,-296.4612,2802.7703,2435.5219,18.5267,1001.0113
2.57,-299.2633,2805.0935,2364.5592,18.4546,1001.0046
2.58,-302.0676,2807.3441,2295.1318,18.3832,1000.9980
2.59,-304.8741,2809.5239,2227.2169,18.3122,1000.9913
2.6,-307.6828,2811.6350,2160.7894,18.2419,1000.9846
2.61,-310.4935,2813.6792,2095.8224,18.1721,1000.9779
2.62,-313.3063,2815.6588,2032.2869,18.1028,1000.9712
2.63,-316.1209,2817.5757,1970.1523,18.0340,1000.9645
2.64,-318.9374,2819.4321,1909.3857,17.9658,1000.9577
2.65,-321.7556,2821.2300,1849.9522,17.8981,1000.9510
2.66,-324.5755,2822.9717,1791.8153,17.8309,1000.9442
2.67,-327.3970,2824.6592,1734.9362,17.7643,1000.9374
2.68,-330.2200,2826.2949,1679.2744,17.6981,1000.9306
2.69,-333.0445,2827.8810,1624.7872,17.6324,1000.9238
2.7,-335.8704,2829.4197,1571.4300,17.5672,1000.9170
2.71,-338.6977,2830.9133,1519.1565,17.5026,1000.9102
2.72,-341.5261,2832.3642,1467.9181,17.4384,1000.9034
2.73,-344.3558,2833.7747,1417.6693,17.3746,1000.8965
2.74,-347.1868,2835.1397,1368.6105,17.3114,1000.8897
2.75,-350.0191,2836.4568,1320.8596,17.2486,1000.8828
2.7600000000000002,-352.8526,2837.7271,1274.4025,17.1863,1000.8759
2.77,-355.6873,2838.9518,1229.2240,17.1244,1000.8690
2.7800000000000002,-358.5232,2840.1319,1185.3082,17.0630,1000.8621
2.79,-361.3603,2841.2688,1142.6383,17.0021,1000.8552
2.8000000000000003,-364.1984,2842.3634,1101.1967,16.9416,1000.8483
2.81,-367.0376,2843.4171,1060.9651,16.8815,1000.8413
2.82,-369.8778,2844.4308,1021.9241,16.8219,1000.8344
2.83,-372.7190,2845.4057,984.0537,16.7627,1000.8274
2.84,-375.5611,2846.3430,947.3330,16.7040,1000.8205
2.85,-378.4041,2847.2438,911.7402,16.6456,1000.8135
2.86,-381.2479,2848.1092,877.2528,16.5877,1000.8065
2.87,-384.0926,2848.9403,843.8472,16.5302,1000.7995
2.88,-386.9381,2849.7382,811.4994,16.4731,1000.7925
2.89,-389.7844,2850.5040,780.1843,16.4164,1000.7855
2.9,-392.6313,2851.2388,749.8758,16.3602,1000.7784
2.91,-395.4790,2851.9438,720.5474,16.3043,1000.7714
2.92,-398.3273,2852.6199,692.1715,16.2488,1000.7644
2.93,-401.1763,2853.2683,664.7196,16.1937,1000.7573
2.94,-404.0258,2853.8901,638.1625,16.1390,1000.7502
2.95,-406.8759,2854.4862,612.4702,16.0847,1000.7431
2.96,-409.7266,2855.0578,587.6158,16.0307,1000.7361
2.97,-412.5778,2855.6055,563.5862,15.9772,1000.7290
2.98,-415.4294,2856.1298,540.3677,15.9240,1000.7218
2.99,-418.2816,2856.6317,517.9459,15.8711,1000.7147
3.0,-421.1342,2857.1115,496.3058,15.8187,1000.7076
